tool	op	iter	real	user	sys	maxrss	footprint	exit
v	install	1	13.21	5.72	2.69	96534528	87032432	0
v	uninstall	1	0.19	0.01	0.17	11173888	9994528	0
rb	install	1	1.04	0.53	0.44	146964480	108479208	0
rb	uninstall	1	0.68	0.37	0.23	106283008	94290688	0
rb	install	2	0.79	0.36	0.37	160301056	113214184	0
rb	uninstall	2	0.51	0.26	0.17	104660992	93045528	0
v	install	2	13.12	5.74	2.61	96550912	87048816	0
v	uninstall	2	0.19	0.01	0.17	11124736	9945376	0
v	install	3	12.49	5.69	2.50	96305152	86819464	0
v	uninstall	3	0.19	0.01	0.17	11091968	9912608	0
rb	install	3	1.05	0.53	0.44	158138368	110101200	0
rb	uninstall	3	0.66	0.36	0.23	105234432	93225704	0
rb	install	4	0.79	0.36	0.37	151863296	108348184	0
rb	uninstall	4	0.49	0.26	0.16	104726528	93078200	0
v	install	4	12.87	5.71	2.53	96567296	87065200	0
v	uninstall	4	0.19	0.01	0.17	11108352	9928992	0
v	install	5	13.76	5.74	2.70	96550912	87048816	0
v	uninstall	5	0.19	0.01	0.17	11157504	9978144	0
rb	install	5	1.07	0.54	0.46	153763840	109544144	0
rb	uninstall	5	0.69	0.38	0.24	103497728	91488928	0
